Year(4)-CountyCode(2)-MunicipalityCode(2)-CaseNumber,County Name,Municipality Name,Crash Date,Crash Day of Week,Crash Time,Police Department Code,Police Department,Police Station,Total Killed,Total Injured,Pedestrians Killed,Pedestrians Injured,Severity,Intersection,Alcohol Involved,Hazmat Involved,Crash Type,Total Vehicles,Location,Location Direction,Route,Route Suffix,Std Rte Identifier,MilePost,Road System,Road Character,Road Horizontal Alignment,Road Grade,Road Surface Type,Surface Condition,Light Condition,Environmental Condition,Road Divided By,Temporary Traffic Control Zone,Distance To Cross Street,Unit Of Measurement,Direction From Cross Street,Cross Street Name,Is Ramp,Ramp To/From Route Name,Ramp To/From Route Direction,Posted Speed,Posted Speed Cross Street,First Harmful Event,Latitude,Longitude,Cell Phone In Use Flag,Other Property Damage,Reporting Badge No.
2019133719OT26390,MONMOUTH,OCEAN TWP,10/21/2019,MO,1416,01,OCEAN TWP PD (MONMOUTH),ZONE 51,0,0,0,0,P,B,N,N,01,3,NJ 35,S,35,,00000035__,27.45,02,,01,04,02,01,01,01,01,01,100,FE,S,WEST PARK AVE,,,,50,40,26,40.275000,74.044350,N,,
2019133719OT26402,MONMOUTH,OCEAN TWP,10/21/2019,MO,1549,01,OCEAN TWP PD (MONMOUTH),52 ZONE,0,0,0,0,P,B,N,N,02,2,WEST PARK AVE,W,,,13361373__,2.82,07,,01,04,02,01,01,01,05,01,25,FE,E,KLEIN ST,,,,40,25,26,40.265210,74.040260,N,,37266
2019133719OT26416,MONMOUTH,OCEAN TWP,10/21/2019,MO,1849,01,OCEAN TWP PD (MONMOUTH),ZONE 53,0,0,0,0,P,B,N,N,12,1,NJ 71,S,71,,00000071__,11.42,02,,01,04,02,01,06,01,03,01,100,FE,N,ROOSEVELT AVE,,,,35,25,24,40.260250,74.001320,N,,37302
2019133719OT26418,MONMOUTH,OCEAN TWP,10/21/2019,MO,1853,01,OCEAN TWP PD (MONMOUTH),ZONE 53,0,0,0,0,P,B,N,N,12,1,NJ 71,S,71,,00000071__,11.42,02,,01,04,02,01,06,01,03,01,100,FE,N,ROOSEVELT AVE,,,,35,35,24,40.259600,74.000070,N,,37302
2019133719OT26442,MONMOUTH,OCEAN TWP,10/22/2019,TU,0758,01,OCEAN TWP PD (MONMOUTH),ZONE 1,0,0,0,0,P,B,N,N,02,2,DEAL RD,E,,,13371368__,1.98,07,,01,04,02,01,01,01,05,01,25,FE,W,POPLAR RD / ROLLER RD,,,,40,40,26,40.250550,74.049910,N,,37300
2019133719OT26452,MONMOUTH,OCEAN TWP,10/22/2019,TU,1102,01,OCEAN TWP PD (MONMOUTH),ZONE 4,0,0,0,0,P,B,N,N,11,1,1456 SR 35 S,W,,,,,09,,01,04,02,01,01,01,05,01,500,FE,W,SR-35,,,,15,50,54,40.247980,74.038670,N,HEAVY DUTY FENCE POST AND WOODEN FENSE (FOR DUMSTER ENCLOSER),37300
2019133719OT26471,MONMOUTH,OCEAN TWP,10/22/2019,TU,1503,01,OCEAN TWP PD (MONMOUTH),55 ZONE,0,0,0,0,P,B,N,N,01,2,NJ 35,W,35,,00000035__,,02,,01,04,02,01,01,01,01,01,,,,,,,,50,,26,,,N,,37266
2019133719OT26488,MONMOUTH,OCEAN TWP,10/22/2019,TU,1841,01,OCEAN TWP PD (MONMOUTH),ZONE 51,0,0,0,0,P,B,N,N,11,1,NJ 18,S,18,,00000018__,12.00,02,,03,06,02,02,06,02,03,01,25,FE,S,,T,WEST PARK AVENUE,EB,65,,56,40.260920,74.058800,N,"CURB  """"NO TURNS"""" SIGN",37255
2019133719OT26502,MONMOUTH,OCEAN TWP,10/23/2019,WE,0501,01,OCEAN TWP PD (MONMOUTH),ZONE 52,0,0,0,0,P,B,N,N,06,2,W LINCOLN DR **,W,,,13371065__,.57,07,,01,04,02,02,06,01,05,01,25,FE,E,WHALEPOND RD,,,,35,35,28,40.264700,74.024570,N,,37283
2019133719OT26507,MONMOUTH,OCEAN TWP,10/23/2019,WE,0739,01,OCEAN TWP PD (MONMOUTH),51,0,0,0,0,P,B,N,N,12,1,NJ 18,N,18,,00000018__,12.13,02,,01,04,02,02,01,01,01,01,300,FE,N,WEST PARK AVE,,,,65,45,24,40.228810,74.050280,N,,37270
2019133719OT26511,MONMOUTH,OCEAN TWP,10/23/2019,WE,0949,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,1,0,0,I,B,N,N,11,1,NJ 66,W,66,,00000066__,3.62,02,,03,04,02,02,01,01,03,01,15,FE,W,NJ 35,,,,50,50,56,,,N,,37301
2019133719OT26516,MONMOUTH,OCEAN TWP,10/23/2019,WE,0917,01,OCEAN TWP PD (MONMOUTH),ZONE 55,0,0,0,0,P,B,N,N,01,2,FAIRMONT AVE **,W,,,13371210__,.20,07,,03,04,02,01,01,01,04,01,10,FE,E,NJ 35,,,,25,50,26,40.236650,74.037160,N,,37281
2019133719OT26524,MONMOUTH,OCEAN TWP,10/23/2019,WE,1043,01,OCEAN TWP PD (MONMOUTH),ZONE 51,0,1,0,0,I,B,N,N,03,2,1904 SR 35; BJS WHOLESALE,,,,,,09,,01,04,02,01,01,01,05,01,,,,,,,,,,26,40.260680,74.043890,N,,37285
2019133719OT26525,MONMOUTH,OCEAN TWP,10/23/2019,WE,1148,01,OCEAN TWP PD (MONMOUTH),51,0,0,0,0,P,I,N,N,03,2,WEST PARK AVE,E,,,13361373__,,07,,01,04,02,01,01,01,05,01,,AT,,COLT RD,,,,40,25,26,,,N,,37270
2019133719OT26613,MONMOUTH,OCEAN TWP,10/24/2019,TH,0959,01,OCEAN TWP PD (MONMOUTH),ZONE # 52,0,0,0,0,P,B,N,N,01,2,NJ 35,N,35,,00000035__,26.57,02,,01,04,02,01,01,01,01,01,30,FE,S,DEAL RD,,,,50,40,26,40.247850,74.055050,N,,37240
2019133719OT26626,MONMOUTH,OCEAN TWP,10/24/2019,TH,1429,01,OCEAN TWP PD (MONMOUTH),ZONE # 54,0,1,0,0,I,B,N,N,01,2,NJ 18,N,18,,00000018__,11.37,02,,01,06,02,01,01,01,03,01,15,FE,,,T,DEAL RD,EB,65,,26,,,N,,37240
2019133719OT26630,MONMOUTH,OCEAN TWP,10/24/2019,TH,1322,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,0,0,0,P,B,N,N,01,2,NJ 35,N,35,,00000035__,24.90,02,,02,04,02,01,01,01,02,01,,,,,,,,50,,26,,,N,,37281
2019133719OT26642,MONMOUTH,OCEAN TWP,10/24/2019,TH,1902,01,OCEAN TWP PD (MONMOUTH),ZONE #51,0,0,0,0,P,B,N,N,01,2,CINDY LN **,E,,,13371188__,.00,07,,01,04,02,01,01,01,,01,50,FE,W,KINGS HWY,,,,35,35,26,,,N,,37240
2019133719OT26708,MONMOUTH,OCEAN TWP,10/25/2019,FR,0647,01,OCEAN TWP PD (MONMOUTH),ZONE 53,0,0,0,0,P,B,N,N,06,2,70 MONMOUTH ROAD,,,,,,09,,01,04,02,01,05,01,05,01,,,,,,,,,,26,40.270970,74.015870,N,,37282
2019133719OT26737,MONMOUTH,OCEAN TWP,10/25/2019,FR,1712,01,OCEAN TWP PD (MONMOUTH),ZONE 51,0,0,0,0,P,B,N,N,01,2,COLT RD,E,,,,,07,,03,04,02,01,03,01,05,01,25,FE,W,NJ 35,,,,25,50,26,40.262020,74.043380,N,,37255
2019133719OT26779,MONMOUTH,OCEAN TWP,10/26/2019,SA,1128,01,OCEAN TWP PD (MONMOUTH),ZONE 53,0,0,0,0,P,B,N,N,08,2,ELMWOOD AVE **,S,,,13371081__,.12,07,,01,04,02,01,01,01,05,01,50,FE,S,ROOSEVELT AVE,,,,25,35,28,40.260010,74.015420,N,,37255
2019133719OT26834,MONMOUTH,OCEAN TWP,10/27/2019,SU,1127,01,OCEAN TWP PD (MONMOUTH),54,0,0,0,0,P,B,N,N,11,1,NJ 66,W,66,,00000066__,3.00,02,,03,06,02,02,01,02,03,01,,,,,T,NJ 18,NB,50,,56,,,N,GUIDE RAIL,37244
2019133719OT26835,MONMOUTH,OCEAN TWP,10/27/2019,SU,1131,01,OCEAN TWP PD (MONMOUTH),55 ZONE,0,0,0,0,P,B,N,N,02,2,NJ 35,W,35,,00000035__,,02,,01,04,02,02,01,02,02,01,,,,,,,,50,,26,40.225910,74.038020,N,,37266
2019133719OT26840,MONMOUTH,OCEAN TWP,10/27/2019,SU,1141,01,OCEAN TWP PD (MONMOUTH),54,0,0,0,0,P,B,N,N,11,1,NJ 66,W,66,,00000066__,3.00,02,,03,06,02,02,01,02,03,01,,,,,T,NJ 18,NB,50,,56,,,N,GUARD RAIL,37244
2019133719OT26849,MONMOUTH,OCEAN TWP,10/27/2019,SU,1533,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,0,0,0,P,B,N,N,03,2,MONMOUTH COUNTY 16,W,16,,13000016__,2.60,05,,01,04,02,02,01,02,05,01,20,FE,E,GREEN GROVE RD,,,,40,40,26,40.234490,74.076820,N,,37280
2019133719OT26856,MONMOUTH,OCEAN TWP,10/27/2019,SU,1651,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,0,0,0,P,B,N,N,11,1,EAGLE AVENUE,N,,,,,07,,01,04,02,02,01,01,05,01,,,,,,,,25,,56,40.243000,74.040390,N,UTILITY POLE #JC612510C,37280
2019133719OT26860,MONMOUTH,OCEAN TWP,10/27/2019,SU,1720,01,OCEAN TWP PD (MONMOUTH),ZONE 53,0,0,0,0,P,B,N,N,06,2,PINEWOOD AVE **,E,,,13371137__,.24,07,,01,04,02,00,00,00,05,01,300,FE,E,CYPRESS AVE,,,,25,25,28,40.263720,74.004550,N,,37300
2019133719OT26926,MONMOUTH,OCEAN TWP,10/28/2019,MO,1406,01,OCEAN TWP PD (MONMOUTH),55,0,0,0,0,P,B,N,N,01,2,NJ 35,N,35,,00000035__,24.90,02,,02,04,02,01,01,01,02,01,,,,,,,,50,,26,,,N,,37270
2019133719OT26948,MONMOUTH,OCEAN TWP,10/28/2019,MO,1941,01,OCEAN TWP PD (MONMOUTH),43 ZONE,0,1,0,0,I,B,N,N,01,3,NJ 35,S,35,,00000035__,25.46,02,,01,04,02,01,06,01,01,01,50,FE,N,US 40 / SUNSET AVE,,,,50,35,26,,,N,,37288
2019133719OT26990,MONMOUTH,OCEAN TWP,10/29/2019,TU,1406,01,OCEAN TWP PD (MONMOUTH),ZONE # 51,0,0,0,0,P,B,N,N,01,2,NJ 35,S,35,,00000035__,26.77,02,,01,04,02,01,01,01,01,01,10,FE,N,WILLOW DR,,,,50,25,26,40.253860,74.040750,N,,37240
2019133719OT26994,MONMOUTH,OCEAN TWP,10/29/2019,TU,1431,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,0,0,0,P,B,N,N,01,2,NJ 35,N,35,,00000035__,24.90,02,,02,06,02,01,01,05,02,01,,,,,,,,50,,26,40.226790,74.039410,N,,37277
2019133719OT27052,MONMOUTH,OCEAN TWP,10/30/2019,WE,0732,01,OCEAN TWP PD (MONMOUTH),51,0,0,0,0,P,B,N,N,12,1,NJ 18,N,18,,00000018__,11.98,02,,01,04,02,02,01,02,03,01,500,FE,S,WEST PARK AVE,,,,55,35,24,40.228810,74.050280,N,,37227
2019133719OT27053,MONMOUTH,OCEAN TWP,10/30/2019,WE,0750,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,0,0,0,P,B,N,N,01,2,NJ 18,N,18,,00000018__,11.00,02,,01,04,02,02,01,02,03,01,,,,,,,,65,,26,,,N,,37280
2019133719OT27080,MONMOUTH,OCEAN TWP,10/30/2019,WE,1340,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,1,0,0,I,B,N,N,01,2,NJ 66,W,66,,00000066__,2.52,02,,01,06,02,02,01,02,02,01,50,FE,E,CR 16 / ASBURY AVE / PARK RD,,,,50,40,26,40.230900,74.061110,N,,37280
2019133719OT27102,MONMOUTH,OCEAN TWP,10/30/2019,WE,1816,01,OCEAN TWP PD (MONMOUTH),ZONE 43,0,0,0,0,P,B,N,N,11,1,NJ 66,W,66,,00000066__,2.98,02,,03,04,02,02,05,02,05,01,80,FE,,,T,NJ 18,SB,50,,56,40.228810,74.050280,N,,37299
2019133719OT27129,MONMOUTH,OCEAN TWP,10/31/2019,TH,0745,01,OCEAN TWP PD (MONMOUTH),54,0,0,0,0,P,I,N,N,07,2,BOWNE RD,S,,,13341420__,.92,07,,02,04,02,02,01,02,05,01,,AT,,COLD INDIAN SPRINGS RD,,,,35,35,26,40.241180,74.066870,N,,37227
2019133719OT27133,MONMOUTH,OCEAN TWP,10/31/2019,TH,0849,01,OCEAN TWP PD (MONMOUTH),55,0,0,0,0,P,B,N,N,06,2,LAUREL AVE **,E,,,,,07,,01,04,02,02,06,02,05,01,,,,,,,,25,,28,,,N,,37244
2019133719OT27142,MONMOUTH,OCEAN TWP,10/31/2019,TH,1018,01,OCEAN TWP PD (MONMOUTH),ZONE 52,0,0,0,0,P,B,N,N,12,1,LOGAN RD,S,,,13371367__,.95,07,,01,04,02,02,01,05,05,01,50,FE,N,FAIRWAY LN,,,,35,25,24,40.230590,74.038620,N,,37255
2019133719OT27158,MONMOUTH,OCEAN TWP,10/31/2019,TH,1207,01,OCEAN TWP PD (MONMOUTH),55,0,0,0,0,P,B,N,N,02,2,NJ 35,N,35,,00000035__,,02,,02,04,02,02,01,05,02,01,,,,,,,,50,,26,,,N,,37244
2019133719OT27171,MONMOUTH,OCEAN TWP,10/31/2019,TH,1452,01,OCEAN TWP PD (MONMOUTH),ZONE 51,0,3,0,0,I,B,N,N,01,3,WEST PARK AVE,E,,,13361373__,2.50,07,,01,04,02,02,01,01,05,01,25,FE,W,RALEIGH CT EAST,,,,40,,26,40.263220,74.046670,N,,37280
2019133719OT27187,MONMOUTH,OCEAN TWP,10/31/2019,TH,1739,01,OCEAN TWP PD (MONMOUTH),ZONE 51,0,0,0,0,P,I,N,N,07,2,WEST PARK AVE,W,,,13361373__,.99,07,,01,04,02,02,03,01,,,,AT,,GREEN GROVE RD / HOPE RD,,,,40,35,26,40.259270,74.073540,N,,37283
2019133719OT27224,MONMOUTH,OCEAN TWP,11/01/2019,FR,0219,01,OCEAN TWP PD (MONMOUTH),ZONE 55,0,0,0,0,P,B,N,N,11,1,SUNSET AVE,W,,,13031365__,1.44,07,,01,04,02,02,06,02,05,01,100,FE,E,LAUREL AVE,,,,35,25,26,40.231280,74.023860,N,,37302
2019133719OT27248,MONMOUTH,OCEAN TWP,11/01/2019,FR,0817,01,OCEAN TWP PD (MONMOUTH),ZONE # 51,0,0,0,0,P,B,N,N,01,2,DEAL RD,W,,,13371368__,1.49,07,,01,04,02,01,01,01,05,01,300,FE,E,NJ 35,,,,40,50,26,40.251860,74.039410,N,,37240
2019133719OT27276,MONMOUTH,OCEAN TWP,11/01/2019,FR,1413,01,OCEAN TWP PD (MONMOUTH),ZONE 53,0,0,0,0,P,B,N,N,01,2,MONMOUTH COUNTY 15,S,15,,13000015__,3.24,05,,01,04,02,01,01,01,05,01,30,FE,N,W PARK AVE,,,,35,35,26,,,N,,37281
2019133719OT27307,MONMOUTH,OCEAN TWP,11/01/2019,FR,2126,01,OCEAN TWP PD (MONMOUTH),ZONE 41,0,0,0,0,P,B,N,N,12,1,NJ 35,S,35,,00000035__,26.94,02,,01,04,02,01,06,01,01,01,900,FE,N,WILLOW DR,,,,50,25,,40.258660,74.041300,N,,37293
2019133719OT27372,MONMOUTH,OCEAN TWP,11/02/2019,SA,1607,01,OCEAN TWP PD (MONMOUTH),ZONE 51,0,0,0,0,P,B,N,N,01,2,POPLAR RD,S,,,13371194__,.78,07,,03,04,02,01,01,01,05,01,20,FE,N,DEAL RD,,,,40,45,26,,,N,,37304
2019133719OT27434,MONMOUTH,OCEAN TWP,11/03/2019,SU,2053,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,0,0,0,P,B,N,N,08,2,BLAIR CT **,E,,,13371342__,.02,07,,03,04,02,01,06,01,05,01,100,FE,E,COLD INDIAN SPRINGS DR,,,,25,35,26,40.238030,74.069930,N,,37297
2019133719OT27547,MONMOUTH,OCEAN TWP,11/05/2019,TU,0812,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,1,0,0,I,B,N,N,02,2,NJ 18,S,18,,00000018__,10.90,02,,01,04,02,02,01,05,03,01,2500,FE,S,DEAL RD,,,,65,40,26,40.236910,74.051620,N,TREES AND SHRUBBERY,37255
2019133719OT27612,MONMOUTH,OCEAN TWP,11/05/2019,TU,2305,01,OCEAN TWP PD (MONMOUTH),ZONE 42,0,0,0,0,P,B,N,N,12,1,MONMOUTH COUNTY 15,S,15,,13000015__,2.09,05,,01,04,02,01,06,01,05,01,25,FE,N,GRANT AVE,,,,35,35,24,40.253670,74.013470,N,,37296
2019133719OT27627,MONMOUTH,OCEAN TWP,11/06/2019,WE,0814,01,OCEAN TWP PD (MONMOUTH),ZONE 55,0,0,0,0,P,B,N,N,01,2,NJ 35,N,35,,00000035__,,02,,02,04,02,01,01,01,02,01,,,,,,,,50,,26,40.227600,74.038250,N,,37285
2019133719OT27641,MONMOUTH,OCEAN TWP,11/06/2019,WE,0954,01,OCEAN TWP PD (MONMOUTH),54,0,0,0,0,P,B,N,N,01,2,NJ 18,N,18,,00000018__,11.37,02,,03,04,02,01,01,01,02,01,,,,,T,DEAL ROAD,EB,65,,26,40.250220,74.055370,N,,37246
2019133719OT27645,MONMOUTH,OCEAN TWP,11/06/2019,WE,1035,01,OCEAN TWP PD (MONMOUTH),ZONE 53,0,1,0,0,I,I,N,N,01,2,MONMOUTH COUNTY 15,N,15,,13000015__,2.95,05,,01,04,02,01,01,01,05,01,,AT,,CRIMSON CIR,,,,35,25,26,,,N,,37281
2019133719OT27676,MONMOUTH,OCEAN TWP,11/06/2019,WE,1700,01,OCEAN TWP PD (MONMOUTH),ZONE 52,0,0,0,0,P,I,N,N,12,1,DEAL RD,E,,,13371368__,.85,07,,01,04,02,01,03,01,05,01,,AT,,DONALD RD,,,,40,25,24,40.252560,74.028530,N,,37277
2019133719OT27680,MONMOUTH,OCEAN TWP,11/06/2019,WE,1811,01,OCEAN TWP PD (MONMOUTH),54,0,0,0,0,P,I,N,N,01,2,NJ 66,W,66,,00000066__,3.39,02,,03,04,02,01,06,01,02,01,,AT,,RING ROAD,,,,50,25,26,40.228180,74.046720,N,,37246
2019133719OT27704,MONMOUTH,OCEAN TWP,11/07/2019,TH,0703,01,OCEAN TWP PD (MONMOUTH),ZONE 52,0,0,0,0,P,B,N,N,12,1,NJ 35,N,35,,00000035__,26.56,02,,01,04,02,01,01,01,01,01,100,FE,S,DEAL RD,,,,50,40,25,40.255130,74.039290,N,,37301
2019133719OT27735,MONMOUTH,OCEAN TWP,11/07/2019,TH,1406,01,OCEAN TWP PD (MONMOUTH),ZONE # 51,0,0,0,0,P,B,N,N,01,2,DEAL RD,W,,,13371368__,1.45,07,,01,04,02,01,01,01,05,01,100,FE,E,NJ 35,,,,40,50,26,40.252070,74.040750,N,,37240
2019133719OT27818,MONMOUTH,OCEAN TWP,11/08/2019,FR,1614,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,0,0,0,P,B,N,N,01,2,MONMOUTH COUNTY 16,W,16,,13000016__,3.00,05,,01,06,02,01,01,01,05,01,50,FE,W,SHARON DR,,,,40,25,26,40.232890,74.069150,N,,37280
2019133719OT27819,MONMOUTH,OCEAN TWP,11/08/2019,FR,1647,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,1,0,0,I,B,N,N,12,1,NJ 66,W,66,,00000066__,3.06,02,,01,05,02,01,06,01,03,01,400,FE,E,NJ 18,,,,50,65,24,40.230170,74.051190,N,,37255
2019133719OT27862,MONMOUTH,OCEAN TWP,11/09/2019,SA,0903,01,OCEAN TWP PD (MONMOUTH),52,0,0,0,0,P,B,N,N,12,2,LOGAN RD,S,,,13371367__,.80,07,,01,04,02,01,01,01,05,01,10,FE,N,BERKELEY AVE / MONROE AVE,,,,35,25,24,40.226640,74.037880,N,,37270
2019133719OT27867,MONMOUTH,OCEAN TWP,11/09/2019,SA,0956,01,OCEAN TWP PD (MONMOUTH),ZONE 55,0,0,0,0,P,B,N,N,01,2,NJ 35,N,35,,00000035__,,02,,01,04,02,01,01,01,02,01,,,,,,,,50,,26,40.227480,74.038140,N,,37282
2019133719OT27872,MONMOUTH,OCEAN TWP,11/09/2019,SA,1130,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,0,0,0,P,B,N,N,02,2,NJ 35,S,35,,00000035__,,02,,03,05,02,01,01,01,02,01,,,,,,,,50,,26,40.226160,74.039100,N,,37280
2019133719OT27882,MONMOUTH,OCEAN TWP,11/09/2019,SA,1413,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,0,0,0,P,B,N,N,12,1,NJ 18,N,18,,00000018__,11.97,02,,01,04,02,01,01,01,03,01,528,FE,S,WEST PARK AVE,,,,65,45,24,40.255970,74.056960,N,,37259
2019133719OT27927,MONMOUTH,OCEAN TWP,11/10/2019,SU,0827,01,OCEAN TWP PD (MONMOUTH),55,0,0,0,0,P,B,N,N,06,2,MONMOUTH COUNTY 31,W,31,,13000031__,.70,05,,01,04,02,01,06,01,05,01,300,FE,W,N EDGEMERE DR,,,,35,25,28,40.237670,74.010120,N,,37246
2019133719OT27936,MONMOUTH,OCEAN TWP,11/10/2019,SU,1307,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,0,0,0,P,B,N,N,02,2,NJ 35,S,35,,00000035__,25.45,02,,02,04,02,01,01,01,02,01,,,,,T,CR 40,WB,50,,26,40.236920,74.039580,N,,37280
2019133719OT27949,MONMOUTH,OCEAN TWP,11/10/2019,SU,1838,01,OCEAN TWP PD (MONMOUTH),ZONE 42,0,0,0,0,P,B,N,N,12,1,NJ 35,N,35,,00000035__,27.13,02,,01,04,02,01,07,01,01,01,20,FE,N,AUTH AVE,,,,50,25,24,40.260600,74.040790,N,,37299
2019133719OT27974,MONMOUTH,OCEAN TWP,11/11/2019,MO,0829,01,OCEAN TWP PD (MONMOUTH),ZONE #55,0,0,0,0,P,B,N,N,02,2,MONMOUTH COUNTY 40,W,40,,13000040__,.12,05,,01,04,02,01,01,01,05,01,200,FE,W,LOGAN RD,,,,40,35,26,40.234930,74.036580,N,,37240
2019133719OT27995,MONMOUTH,OCEAN TWP,11/11/2019,MO,1401,01,OCEAN TWP PD (MONMOUTH),ZONE 53,0,0,0,0,P,B,N,N,08,2,MONMOUTH COUNTY 15,S,15,,13000015__,3.16,05,,01,04,02,01,01,01,05,01,5,FE,N,LAIRD ST,,,,35,25,26,,,N,,37304
2019133719OT27997,MONMOUTH,OCEAN TWP,11/11/2019,MO,1416,01,OCEAN TWP PD (MONMOUTH),ZONE 53,0,0,0,0,P,B,N,N,02,2,MONMOUTH COUNTY 15,S,15,,13000015__,2.51,05,,01,04,02,01,01,01,05,01,150,FE,N,ROOSEVELT AVE,,,,35,25,26,40.260700,74.011830,N,,37290
2019133719OT28053,MONMOUTH,OCEAN TWP,11/12/2019,TU,0959,01,OCEAN TWP PD (MONMOUTH),ZONE 55,0,1,0,0,I,I,N,N,02,2,SUNSET AVE,E,,,,,07,,01,04,02,02,01,02,05,01,,AT,,ALLEN AVE,,,,35,25,26,40.235170,74.036240,N,,37285
2019133719OT28150,MONMOUTH,OCEAN TWP,11/13/2019,WE,1310,01,OCEAN TWP PD (MONMOUTH),ZONE 51,0,0,0,0,P,I,N,N,07,2,DEAL RD,W,,,13371368__,1.98,07,,01,04,02,01,01,01,05,01,,AT,,POPLAR RD / ROLLER RD,,,,45,40,26,40.250550,74.049910,N,,37282
2019133719OT28166,MONMOUTH,OCEAN TWP,11/13/2019,WE,1634,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,0,0,0,P,B,N,N,02,2,NJ 35,S,35,,00000035__,26.54,02,,01,04,02,01,01,01,01,01,2640,FE,N,ALLAIRE AVE,,,,50,25,26,40.243050,74.032780,N,,37282
2019133719OT28172,MONMOUTH,OCEAN TWP,11/13/2019,WE,1723,01,OCEAN TWP PD (MONMOUTH),ZONE 54,0,0,0,0,P,B,N,N,01,2,NJ 35,S,35,,00000035__,26.05,02,,01,04,02,01,06,01,01,01,50,FE,N,ALLAIRE AVE,,,,50,25,26,,,N,,37277
2019133719OT28248,MONMOUTH,OCEAN TWP,11/14/2019,TH,2024,01,OCEAN TWP PD (MONMOUTH),52,0,0,0,0,P,B,N,N,12,1,WEST PARK AVE,W,,,13361373__,3.00,07,,01,04,02,01,07,01,05,01,10,FE,E,FANWOOD ST,,,,40,25,24,40.266400,74.037210,N,,37289
2019133719OT28258,MONMOUTH,OCEAN TWP,11/14/2019,TH,2222,01,OCEAN TWP PD (MONMOUTH),52 ZONE,0,1,0,0,I,I,N,N,01,2,DEAL RD,W,,,13371368__,1.43,07,,01,04,01,01,06,01,05,01,,AT,,NJ 35,,,,45,50,26,40.247850,74.055050,N,,37295
2019133719OT28278,MONMOUTH,OCEAN TWP,11/15/2019,FR,1020,01,OCEAN TWP PD (MONMOUTH),ZONE #52,0,0,0,0,P,I,N,N,01,2,DEAL RD,W,,,13371368__,1.43,07,,01,04,02,01,01,01,05,01,,AT,E,NJ 35,,,,40,50,26,,,N,,37240
2019133719OT28311,MONMOUTH,OCEAN TWP,11/15/2019,FR,1610,01,OCEAN TWP PD (MONMOUTH),ZONE 51,0,0,0,0,P,I,N,N,01,2,WEST PARK AVE,W,,,13361373__,2.72,07,,01,04,02,01,03,01,,,,AT,,NJ 35,,,,35,50,,40.264660,74.041930,N,,37285
2019133719OT28345,MONMOUTH,OCEAN TWP,11/15/2019,FR,2358,01,OCEAN TWP PD (MONMOUTH),ZONE 53,0,0,0,0,P,B,N,N,11,1,MONMOUTH COUNTY 15,N,15,,13000015__,2.86,05,,03,04,02,01,07,01,05,01,150,FE,S,W LINCOLN AVE,,,,35,35,56,40.264610,74.013890,N,POLE #40526OT,37292
2019133719OT28378,MONMOUTH,OCEAN TWP,11/16/2019,SA,1531,01,OCEAN TWP PD (MONMOUTH),ZONE 53,0,0,0,0,P,B,N,N,11,1,399 MONMOUTH RD,,,,,,08,,01,04,02,01,01,01,05,01,,,,,,,,,,59,40.253670,74.013470,N,METAL FENCE,37285
2019133719OT28380,MONMOUTH,OCEAN TWP,11/16/2019,SA,1600,01,OCEAN TWP PD (MONMOUTH),ZONE 51,0,0,0,0,P,B,N,N,02,2,WEST PARK AVE,E,,,13361373__,2.71,07,,01,04,02,01,01,01,05,02,40,FE,W,NJ 35,,,,40,50,26,40.257900,74.040520,N,,37259
2019133719OT28472,MONMOUTH,OCEAN TWP,11/18/2019,MO,0904,01,OCEAN TWP PD (MONMOUTH),54 ZONE,0,0,0,0,P,B,N,N,11,1,NJ 18,N,18,,00000018__,10.00,02,,03,04,02,02,01,02,02,01,,,,,F,NJ 66,WB,65,,56,40.228810,74.050280,N,,37266
2019133719OT28530,MONMOUTH,OCEAN TWP,11/19/2019,TU,0658,01,OCEAN TWP PD (MONMOUTH),52,0,0,0,0,P,B,N,N,03,2,550 WEST PARK AVE,S,,,,,09,,01,04,02,02,01,01,05,01,,,,,,,,,,26,40.266140,74.031070,N,,37227
2019133719OT28586,MONMOUTH,OCEAN TWP,11/19/2019,TU,1752,01,OCEAN TWP PD (MONMOUTH),ZONE 53,0,1,0,0,I,I,N,N,07,2,MONMOUTH COUNTY 15,N,15,,13000015__,2.92,05,,01,04,02,01,06,01,05,01,,AT,,S LINCOLN AVE,,,,35,35,26,40.266560,74.014640,N,,37282
